[2026-03-16 14:01:53] GAME CREATED
[2026-03-16 14:01:57] PLAYER JOINED: rs as red
[2026-03-16 14:02:00] PLAYER JOINED: kl as blue
[2026-03-16 14:02:00] PLAYER READY: kl (blue)
[2026-03-16 14:02:01] PLAYER READY: rs (red)
[2026-03-16 14:02:01] GAME START: turn order ['red', 'blue']
[2026-03-16 14:02:04] MOVE #1: rs (red) 116->105 [0.09ms]
[2026-03-16 14:02:11] MOVE #2: kl (blue) 6->15 [0.10ms]
[2026-03-16 14:02:15] MOVE #3: rs (red) 112->104 [0.08ms]
[2026-03-16 14:02:18] MOVE #4: kl (blue) 8->6 [0.17ms]
[2026-03-16 14:02:26] MOVE #5: rs (red) 115->112 [0.32ms]
[2026-03-16 14:02:34] MOVE #6: kl (blue) 1->8 [0.06ms]
[2026-03-16 14:02:37] MOVE #7: rs (red) 113->116 [0.07ms]
[2026-03-16 14:02:42] MOVE #8: kl (blue) 15->28 [0.09ms]
[2026-03-16 14:02:49] MOVE #9: rs (red) 118->115 [0.53ms]
[2026-03-16 14:02:56] MOVE #10: kl (blue) 0->1 [0.06ms]
[2026-03-16 14:03:01] GAME TIME LIMIT REACHED. Terminating game.
