[2026-03-16 13:38:27] GAME CREATED
[2026-03-16 13:38:33] PLAYER JOINED: rs as red
[2026-03-16 13:38:38] PLAYER JOINED: ly as blue
[2026-03-16 13:38:39] PLAYER READY: ly (blue)
[2026-03-16 13:38:39] PLAYER READY: rs (red)
[2026-03-16 13:38:39] GAME START: turn order ['red', 'blue']
[2026-03-16 13:38:50] TURN TIMEOUT: Player with colour red exceeded 10s. Turn skipped.
[2026-03-16 13:38:50] MOVE #1: ly (blue) 6->15 [0.05ms]
[2026-03-16 13:38:50] MOVE #2: rs (red) 112->104 [0.10ms]
[2026-03-16 13:38:50] MOVE #3: ly (blue) 8->6 [0.12ms]
[2026-03-16 13:38:51] MOVE #4: rs (red) 116->105 [0.06ms]
[2026-03-16 13:38:51] MOVE #5: ly (blue) 9->18 [0.06ms]
[2026-03-16 13:38:51] MOVE #6: rs (red) 113->116 [0.08ms]
[2026-03-16 13:38:51] MOVE #7: ly (blue) 4->8 [0.07ms]
[2026-03-16 13:38:52] MOVE #8: rs (red) 116->112 [0.09ms]
[2026-03-16 13:38:52] MOVE #9: ly (blue) 7->27 [0.05ms]
[2026-03-16 13:38:53] MOVE #10: rs (red) 118->116 [0.06ms]
[2026-03-16 13:38:53] MOVE #11: ly (blue) 6->7 [0.06ms]
[2026-03-16 13:38:53] MOVE #12: rs (red) 119->118 [0.09ms]
[2026-03-16 13:38:53] MOVE #13: ly (blue) 2->31 [0.07ms]
[2026-03-16 13:38:54] MOVE #14: rs (red) 117->113 [0.04ms]
[2026-03-16 13:38:54] MOVE #15: ly (blue) 5->4 [0.10ms]
[2026-03-16 13:38:54] MOVE #16: rs (red) 104->103 [0.06ms]
[2026-03-16 13:38:55] MOVE #17: ly (blue) 0->2 [0.17ms]
[2026-03-16 13:38:55] MOVE #18: rs (red) 118->119 [0.05ms]
[2026-03-16 13:38:55] MOVE #19: ly (blue) 27->28 [0.09ms]
[2026-03-16 13:38:56] MOVE #20: rs (red) 116->117 [0.08ms]
[2026-03-16 13:38:56] MOVE #21: ly (blue) 31->43 [0.10ms]
[2026-03-16 13:38:56] MOVE #22: rs (red) 119->116 [0.04ms]
[2026-03-16 13:38:56] MOVE #23: ly (blue) 2->0 [0.21ms]
[2026-03-16 13:38:57] MOVE #24: rs (red) 120->119 [0.10ms]
[2026-03-16 13:38:57] MOVE #25: ly (blue) 18->9 [0.10ms]
[2026-03-16 13:38:57] MOVE #26: rs (red) 117->104 [0.07ms]
[2026-03-16 13:38:57] MOVE #27: ly (blue) 0->2 [0.11ms]
[2026-03-16 13:38:58] MOVE #28: rs (red) 115->118 [0.04ms]
[2026-03-16 13:38:58] MOVE #29: ly (blue) 3->14 [0.05ms]
[2026-03-16 13:38:58] MOVE #30: rs (red) 116->115 [0.04ms]
[2026-03-16 13:38:59] MOVE #31: ly (blue) 43->32 [0.12ms]
[2026-03-16 13:38:59] MOVE #32: rs (red) 105->116 [0.04ms]
[2026-03-16 13:38:59] MOVE #33: ly (blue) 15->40 [0.04ms]
[2026-03-16 13:38:59] MOVE #34: rs (red) 111->91 [0.07ms]
[2026-03-16 13:39:00] MOVE #35: ly (blue) 28->27 [0.08ms]
[2026-03-16 13:39:00] MOVE #36: rs (red) 119->117 [0.04ms]
[2026-03-16 13:39:00] MOVE #37: ly (blue) 8->17 [0.04ms]
[2026-03-16 13:39:00] MOVE #38: rs (red) 104->105 [0.08ms]
[2026-03-16 13:39:01] MOVE #39: ly (blue) 2->5 [0.09ms]
[2026-03-16 13:39:01] MOVE #40: rs (red) 112->90 [0.04ms]
[2026-03-16 13:39:01] MOVE #41: ly (blue) 7->16 [0.05ms]
[2026-03-16 13:39:01] MOVE #42: rs (red) 113->104 [0.08ms]
[2026-03-16 13:39:02] MOVE #43: ly (blue) 9->29 [0.11ms]
[2026-03-16 13:39:02] MOVE #44: rs (red) 91->111 [0.06ms]
[2026-03-16 13:39:02] MOVE #45: ly (blue) 40->39 [0.11ms]
[2026-03-16 13:39:03] MOVE #46: rs (red) 90->89 [0.19ms]
[2026-03-16 13:39:03] MOVE #47: ly (blue) 27->50 [0.05ms]
[2026-03-16 13:39:03] MOVE #48: rs (red) 104->106 [0.04ms]
[2026-03-16 13:39:03] MOVE #49: ly (blue) 39->60 [0.04ms]
[2026-03-16 13:39:04] MOVE #50: rs (red) 111->91 [0.06ms]
[2026-03-16 13:39:04] MOVE #51: ly (blue) 1->8 [0.04ms]
[2026-03-16 13:39:04] MOVE #52: rs (red) 89->102 [0.08ms]
[2026-03-16 13:39:05] MOVE #53: ly (blue) 32->31 [0.08ms]
[2026-03-16 13:39:05] MOVE #54: rs (red) 116->119 [0.23ms]
