[2026-03-16 14:09:27] GAME CREATED
[2026-03-16 14:09:32] PLAYER JOINED: rs as red
[2026-03-16 14:09:36] PLAYER JOINED: ly as blue
[2026-03-16 14:09:39] PLAYER START: ly (blue)
[2026-03-16 14:09:41] PLAYER START: rs (red)
[2026-03-16 14:09:41] GAME START: turn order ['red', 'blue']
[2026-03-16 14:09:41] MOVE #1: rs (red) 115->102 [0.05ms]
[2026-03-16 14:09:41] MOVE #2: ly (blue) 4->17 [0.07ms]
[2026-03-16 14:09:42] MOVE #3: rs (red) 117->115 [0.04ms]
[2026-03-16 14:09:42] MOVE #4: ly (blue) 17->30 [0.06ms]
[2026-03-16 14:09:42] MOVE #5: rs (red) 116->103 [0.06ms]
[2026-03-16 14:09:42] MOVE #6: ly (blue) 7->4 [0.10ms]
[2026-03-16 14:09:43] MOVE #7: rs (red) 118->116 [0.08ms]
[2026-03-16 14:09:43] MOVE #8: ly (blue) 5->18 [0.05ms]
[2026-03-16 14:09:43] MOVE #9: rs (red) 114->105 [0.06ms]
[2026-03-16 14:09:43] MOVE #10: ly (blue) 18->41 [0.07ms]
[2026-03-16 14:09:44] MOVE #11: rs (red) 113->93 [0.07ms]
[2026-03-16 14:09:44] MOVE #12: ly (blue) 41->52 [0.05ms]
[2026-03-16 14:09:44] MOVE #13: rs (red) 119->118 [0.24ms]
[2026-03-16 14:09:44] MOVE #14: ly (blue) 52->42 [0.18ms]
[2026-03-16 14:09:45] MOVE #15: rs (red) 116->119 [0.05ms]
[2026-03-16 14:09:45] MOVE #16: ly (blue) 6->15 [0.05ms]
[2026-03-16 14:09:45] MOVE #17: rs (red) 103->91 [0.04ms]
[2026-03-16 14:09:45] MOVE #18: ly (blue) 4->17 [0.06ms]
[2026-03-16 14:09:46] MOVE #19: rs (red) 115->106 [0.05ms]
[2026-03-16 14:09:46] MOVE #20: ly (blue) 17->29 [0.07ms]
[2026-03-16 14:09:46] MOVE #21: rs (red) 112->115 [0.06ms]
[2026-03-16 14:09:47] MOVE #22: ly (blue) 1->4 [0.06ms]
[2026-03-16 14:09:47] MOVE #23: rs (red) 93->94 [0.05ms]
[2026-03-16 14:09:47] MOVE #24: ly (blue) 8->7 [0.29ms]
[2026-03-16 14:09:47] MOVE #25: rs (red) 115->112 [0.08ms]
[2026-03-16 14:09:48] MOVE #26: ly (blue) 15->27 [0.06ms]
[2026-03-16 14:09:48] MOVE #27: rs (red) 102->104 [0.08ms]
[2026-03-16 14:09:48] MOVE #28: ly (blue) 2->1 [0.06ms]
[2026-03-16 14:09:48] MOVE #29: rs (red) 94->93 [0.07ms]
[2026-03-16 14:09:49] MOVE #30: ly (blue) 0->2 [0.15ms]
[2026-03-16 14:09:49] MOVE #31: rs (red) 119->116 [0.06ms]
[2026-03-16 14:09:49] MOVE #32: ly (blue) 2->0 [0.04ms]
[2026-03-16 14:09:50] MOVE #33: rs (red) 120->119 [0.04ms]
[2026-03-16 14:09:50] MOVE #34: ly (blue) 9->5 [0.12ms]
[2026-03-16 14:09:50] MOVE #35: rs (red) 93->113 [0.08ms]
[2026-03-16 14:09:50] MOVE #36: ly (blue) 0->2 [0.08ms]
[2026-03-16 14:09:51] MOVE #37: rs (red) 113->93 [0.16ms]
[2026-03-16 14:09:51] MOVE #38: ly (blue) 27->14 [0.05ms]
[2026-03-16 14:09:51] MOVE #39: rs (red) 106->81 [0.07ms]
[2026-03-16 14:09:51] MOVE #40: ly (blue) 42->53 [0.04ms]
[2026-03-16 14:09:52] MOVE #41: rs (red) 119->117 [0.07ms]
[2026-03-16 14:09:52] MOVE #42: ly (blue) 29->40 [0.23ms]
[2026-03-16 14:09:52] MOVE #43: rs (red) 118->119 [0.07ms]
[2026-03-16 14:09:52] MOVE #44: ly (blue) 1->26 [0.09ms]
[2026-03-16 14:09:53] MOVE #45: rs (red) 91->79 [0.07ms]
[2026-03-16 14:09:53] MOVE #46: ly (blue) 7->8 [0.04ms]
[2026-03-16 14:09:53] MOVE #47: rs (red) 81->106 [0.08ms]
[2026-03-16 14:09:54] MOVE #48: ly (blue) 40->29 [0.04ms]
[2026-03-16 14:09:54] MOVE #49: rs (red) 112->103 [0.11ms]
[2026-03-16 14:09:54] MOVE #50: ly (blue) 2->1 [0.04ms]
[2026-03-16 14:09:54] MOVE #51: rs (red) 103->91 [0.06ms]
[2026-03-16 14:09:55] MOVE #52: ly (blue) 53->62 [0.08ms]
[2026-03-16 14:09:55] MOVE #53: rs (red) 91->90 [0.15ms]
[2026-03-16 14:09:55] MOVE #54: ly (blue) 5->2 [0.05ms]
[2026-03-16 14:09:55] MOVE #55: rs (red) 105->78 [0.07ms]
[2026-03-16 14:09:56] MOVE #56: ly (blue) 4->40 [0.04ms]
[2026-03-16 14:09:56] MOVE #57: rs (red) 111->103 [0.06ms]
[2026-03-16 14:09:56] MOVE #58: ly (blue) 30->18 [0.06ms]
[2026-03-16 14:09:57] MOVE #59: rs (red) 79->68 [0.06ms]
[2026-03-16 14:09:57] MOVE #60: ly (blue) 62->61 [0.13ms]
[2026-03-16 14:09:57] MOVE #61: rs (red) 106->114 [0.04ms]
[2026-03-16 14:09:57] MOVE #62: ly (blue) 14->6 [0.05ms]
[2026-03-16 14:09:58] MOVE #63: rs (red) 104->102 [0.09ms]
[2026-03-16 14:09:58] MOVE #64: ly (blue) 61->70 [0.09ms]
[2026-03-16 14:09:58] MOVE #65: rs (red) 78->79 [0.13ms]
[2026-03-16 14:09:58] MOVE #66: ly (blue) 40->19 [0.07ms]
[2026-03-16 14:09:59] MOVE #67: rs (red) 114->106 [0.04ms]
[2026-03-16 14:09:59] MOVE #68: ly (blue) 2->5 [0.07ms]
[2026-03-16 14:09:59] MOVE #69: rs (red) 93->105 [0.17ms]
[2026-03-16 14:09:59] MOVE #70: ly (blue) 1->0 [0.07ms]
[2026-03-16 14:10:00] MOVE #71: rs (red) 79->69 [0.04ms]
[2026-03-16 14:10:00] MOVE #72: ly (blue) 5->16 [0.06ms]
[2026-03-16 14:10:00] MOVE #73: rs (red) 106->94 [0.14ms]
[2026-03-16 14:10:01] MOVE #74: ly (blue) 16->15 [0.08ms]
[2026-03-16 14:10:01] MOVE #75: rs (red) 90->112 [0.13ms]
[2026-03-16 14:10:01] MOVE #76: ly (blue) 6->14 [0.04ms]
[2026-03-16 14:10:02] MOVE #77: rs (red) 117->106 [0.19ms]
[2026-03-16 14:10:02] MOVE #78: ly (blue) 18->20 [0.04ms]
[2026-03-16 14:10:02] MOVE #79: rs (red) 103->91 [0.04ms]
[2026-03-16 14:10:02] MOVE #80: ly (blue) 20->18 [0.05ms]
[2026-03-16 14:10:03] MOVE #81: rs (red) 119->120 [0.04ms]
