episode,stage,steps,agent_moves,return_sum,pins_home,outcome,epsilon,loss
1,solo_race,600,600,6.3000,1,truncated,0.9715,1.041378
2,solo_race,600,600,6.9000,1,truncated,0.9430,0.110151
3,solo_race,600,600,18.7000,2,truncated,0.9145,0.292108
4,solo_race,600,600,9.0000,0,truncated,0.8860,1.045318
5,solo_race,600,600,6.2000,0,truncated,0.8575,0.718942
6,solo_race,600,600,7.2000,1,truncated,0.8290,0.389714
7,solo_race,600,600,12.3000,1,truncated,0.8005,0.647354
8,solo_race,600,600,12.3000,1,truncated,0.7720,0.571558
9,solo_race,600,600,18.3000,3,truncated,0.7435,0.449972
10,solo_race,600,600,13.0000,1,truncated,0.7150,0.648383
11,solo_race,600,600,7.7000,1,truncated,0.6865,0.563107
12,solo_race,600,600,12.5000,1,truncated,0.6580,0.613981
13,solo_race,600,600,22.9000,3,truncated,0.6295,0.274261
14,solo_race,600,600,19.0000,2,truncated,0.6010,0.687076
15,solo_race,600,600,6.9000,1,truncated,0.5725,0.424711
16,solo_race,600,600,8.4000,1,truncated,0.5440,0.257867
17,solo_race,600,600,18.1000,3,truncated,0.5155,0.390466
18,solo_race,600,600,6.7000,0,truncated,0.4870,0.429429
19,solo_race,600,600,6.5000,1,truncated,0.4585,0.412246
20,solo_race,600,600,1.2000,0,truncated,0.4300,0.567885
21,solo_race,600,600,12.6000,1,truncated,0.4015,0.448744
22,solo_race,600,600,7.3000,1,truncated,0.3730,0.362114
23,solo_race,600,600,0.4000,0,truncated,0.3445,0.354707
24,solo_race,600,600,12.3000,1,truncated,0.3160,0.441047
25,solo_race,600,600,0.3000,0,truncated,0.2875,0.436106
26,solo_race,600,600,0.3000,0,truncated,0.2590,0.323381
27,solo_race,600,600,12.3000,1,truncated,0.2305,0.688909
28,solo_race,600,600,0.9000,0,truncated,0.2020,0.416161
29,solo_race,600,600,5.8000,0,truncated,0.1735,0.346674
30,solo_race,600,600,7.0000,0,truncated,0.1450,0.478445
31,solo_race,600,600,11.9000,1,truncated,0.1165,0.458617
